Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.945999,4.032724,3.945999,3.989362,0.837464,271500
1980-03-18,3.989362,4.003816,3.945999,3.974907,0.834429,376100
1980-03-19,4.018270,4.104995,4.018270,4.047179,0.849601,858700
1980-03-20,4.047179,4.047179,4.018270,4.032724,0.846567,144400
1980-03-21,4.032724,4.032724,3.989362,4.032724,0.846567,106300
1980-03-24,4.003816,4.003816,3.888182,3.888182,0.816224,744500
1980-03-25,3.888182,3.902637,3.830365,3.844820,0.807121,112400
1980-03-26,3.844820,3.902637,3.830365,3.859274,0.810155,94200
1980-03-27,3.844820,3.844820,3.815911,3.830365,0.804087,133100
1980-03-28,3.859274,4.047179,3.859274,4.003816,0.840498,152200
1980-03-31,4.003816,4.032724,3.989362,4.018270,0.843532,181600
1980-04-01,4.018270,4.018270,3.931545,3.960453,0.831395,336400
1980-04-02,3.931545,3.931545,3.815911,3.902637,0.819258,1004800
1980-04-03,3.815911,3.815911,3.729186,3.772549,0.791950,418500
1980-04-07,3.772549,3.801457,3.743640,3.787003,0.794984,635600
1980-04-08,3.787003,3.844820,3.729186,3.815911,0.801053,486800
1980-04-09,3.873728,3.960453,3.873728,3.945999,0.828361,211800
1980-04-10,3.989362,4.047179,3.989362,4.047179,0.849601,40600
1980-04-11,4.104995,4.235083,4.104995,4.235083,0.889047,82100
1980-04-14,4.235083,4.235083,4.191720,4.191720,0.879944,133100
1980-04-15,4.191720,4.191720,4.133904,4.162812,0.873876,142600
1980-04-16,4.133904,4.133904,4.061633,4.076087,0.855669,457400
1980-04-17,4.076087,4.076087,3.931545,3.931545,0.825326,449600
1980-04-18,3.931545,3.960453,3.815911,3.844820,0.807121,270600
1980-04-21,3.815911,3.815911,3.772549,3.787003,0.794984,140000
1980-04-22,3.815911,4.076087,3.815911,4.076087,0.855669,378700
1980-04-23,4.076087,4.162812,4.032724,4.090541,0.858704,315600
1980-04-24,4.090541,4.220629,4.076087,4.191720,0.879944,84700
1980-04-25,4.191720,4.307354,4.177267,4.263992,0.895116,35400
1980-04-28,4.263992,4.292900,4.235083,4.278446,0.898149,110600
1980-04-29,4.278446,4.350717,4.249537,4.321808,0.907253,255900
1980-04-30,4.321808,4.394080,4.292900,4.394080,0.922424,267200
1980-05-01,4.394080,4.480805,4.379625,4.379625,0.919390,677100
1980-05-02,4.365171,4.365171,4.321808,4.336263,0.910287,364000
1980-05-05,4.365171,4.394080,4.365171,4.365171,0.916355,681400
1980-05-06,4.365171,4.408534,4.321808,4.379625,0.919390,608800
1980-05-07,4.379625,4.379625,4.278446,4.278446,0.898149,327700
1980-05-08,4.278446,4.278446,4.162812,4.162812,0.873876,134000
1980-05-09,4.162812,4.162812,4.018270,4.047179,0.849601,79500
1980-05-12,4.018270,4.018270,3.873728,3.931545,0.825326,614000
1980-05-13,3.931545,3.945999,3.873728,3.945999,0.828361,604400
1980-05-14,3.945999,4.018270,3.931545,4.003816,0.840498,443600
1980-05-15,4.003816,4.003816,3.945999,3.945999,0.828361,678000
1980-05-16,3.945999,3.974907,3.917091,3.960453,0.831395,126200
1980-05-19,3.960453,3.989362,3.945999,3.960453,0.831395,402900
1980-05-20,3.960453,3.989362,3.931545,3.989362,0.837464,83800
1980-05-21,3.989362,3.989362,3.917091,3.974907,0.834429,269800
1980-05-22,3.974907,4.379625,3.960453,4.191720,0.879944,1090500
1980-05-23,4.249537,4.336263,4.249537,4.336263,0.910287,1250500
1980-05-27,4.336263,4.379625,4.336263,4.365171,0.916355,104600
1980-05-28,4.365171,4.365171,4.307354,4.350717,0.913321,63100
1980-05-29,4.350717,4.350717,4.235083,4.278446,0.898149,704800
1980-05-30,4.278446,4.336263,4.191720,4.336263,0.910287,71700
1980-06-02,4.336263,4.336263,4.278446,4.292900,0.901184,31900
1980-06-03,4.292900,4.336263,4.235083,4.336263,0.910287,316500
1980-06-04,4.336263,4.451896,4.321808,4.451896,0.934561,223900
1980-06-05,4.451896,4.596438,4.437442,4.451896,0.934561,204000
1980-06-06,4.451896,4.451896,4.365171,4.379625,0.919390,180700
