Date,Open,High,Low,Close,Adj Close,Volume
2007-06-11,147.899994,147.899994,147.899994,147.899994,133.982178,85
2007-06-12,null,null,null,null,null,null
2007-06-13,null,null,null,null,null,null
2007-06-14,146.520004,146.520004,146.520004,146.520004,132.732040,290
2007-06-15,null,null,null,null,null,null
2007-06-18,null,null,null,null,null,null
2007-06-19,null,null,null,null,null,null
2007-06-20,null,null,null,null,null,null
2007-06-21,null,null,null,null,null,null
2007-06-22,null,null,null,null,null,null
2007-06-25,null,null,null,null,null,null
2007-06-26,null,null,null,null,null,null
2007-06-27,null,null,null,null,null,null
2007-06-28,148.089996,148.089996,148.089996,148.089996,134.154282,200
2007-06-29,null,null,null,null,null,null
2007-07-02,null,null,null,null,null,null
2007-07-03,null,null,null,null,null,null
2007-07-04,147.539993,147.539993,147.539993,147.539993,133.656006,20
2007-07-05,null,null,null,null,null,null
2007-07-06,146.369995,146.369995,146.369995,146.369995,132.596161,270
2007-07-09,null,null,null,null,null,null
2007-07-10,146.839996,146.839996,146.839996,146.839996,133.021896,35
2007-07-11,null,null,null,null,null,null
2007-07-12,null,null,null,null,null,null
2007-07-13,null,null,null,null,null,null
2007-07-16,null,null,null,null,null,null
2007-07-17,null,null,null,null,null,null
2007-07-18,147.929993,147.929993,147.929993,147.929993,134.009338,675
2007-07-19,null,null,null,null,null,null
2007-07-20,null,null,null,null,null,null
2007-07-23,null,null,null,null,null,null
2007-07-24,null,null,null,null,null,null
2007-07-25,null,null,null,null,null,null
2007-07-26,null,null,null,null,null,null
2007-07-27,null,null,null,null,null,null
2007-07-30,null,null,null,null,null,null
2007-07-31,null,null,null,null,null,null
2007-08-01,null,null,null,null,null,null
2007-08-02,151.600006,151.600006,151.600006,151.600006,137.333984,46
2007-08-03,null,null,null,null,null,null
2007-08-06,null,null,null,null,null,null
2007-08-07,null,null,null,null,null,null
2007-08-08,151.699997,151.699997,151.699997,151.699997,137.424561,20
2007-08-09,151.529999,151.529999,151.529999,151.529999,137.270599,100
2007-08-10,151.500000,151.500000,151.500000,151.500000,137.243393,371
2007-08-13,null,null,null,null,null,null
2007-08-14,null,null,null,null,null,null
2007-08-15,null,null,null,null,null,null
2007-08-16,null,null,null,null,null,null
2007-08-17,153.179993,153.179993,153.179993,153.179993,138.765305,35
2007-08-20,null,null,null,null,null,null
2007-08-21,null,null,null,null,null,null
2007-08-22,null,null,null,null,null,null
2007-08-23,null,null,null,null,null,null
2007-08-24,null,null,null,null,null,null
2007-08-27,null,null,null,null,null,null
2007-08-28,null,null,null,null,null,null
