Date,Open,High,Low,Close,Adj Close,Volume
2011-01-25,28.299999,28.299999,28.100000,28.100000,28.100000,12000
2011-01-26,28.299999,28.410000,28.299999,28.355000,28.355000,5275
2011-01-27,null,null,null,null,null,null
2011-01-28,null,null,null,null,null,null
2011-01-31,null,null,null,null,null,null
2011-02-01,28.240000,28.530001,28.240000,28.530001,28.530001,4500
2011-02-02,28.629999,28.629999,28.594999,28.594999,28.594999,250
2011-02-03,null,null,null,null,null,null
2011-02-04,null,null,null,null,null,null
2011-02-07,null,null,null,null,null,null
2011-02-08,28.860001,28.930000,28.860001,28.920000,28.920000,180
2011-02-09,null,null,null,null,null,null
2011-02-10,null,null,null,null,null,null
2011-02-11,null,null,null,null,null,null
2011-02-14,29.150000,29.180000,29.145000,29.145000,29.145000,515
2011-02-15,null,null,null,null,null,null
2011-02-16,29.200001,29.260000,29.200001,29.235001,29.235001,34
2011-02-17,null,null,null,null,null,null
2011-02-18,null,null,null,null,null,null
2011-02-21,29.350000,29.410000,29.184999,29.184999,29.184999,20021
2011-02-22,29.090000,29.200001,29.090000,29.105000,29.105000,34
2011-02-23,28.920000,28.920000,28.700001,28.700001,28.700001,1
2011-02-24,null,null,null,null,null,null
2011-02-25,null,null,null,null,null,null
2011-02-28,28.865000,29.075001,28.865000,29.075001,29.075001,10002
2011-03-01,null,null,null,null,null,null
2011-03-02,null,null,null,null,null,null
2011-03-03,28.719999,29.075001,28.719999,29.075001,29.075001,40004
2011-03-04,29.180000,29.219999,29.025000,29.025000,29.025000,12872
2011-03-07,28.885000,29.030001,28.764999,28.764999,28.764999,309
2011-03-08,28.934999,29.014999,28.934999,29.014999,29.014999,1
2011-03-09,null,null,null,null,null,null
2011-03-10,null,null,null,null,null,null
2011-03-11,null,null,null,null,null,null
2011-03-14,28.504999,28.504999,28.235001,28.235001,28.235001,10002
2011-03-15,27.639999,28.025000,27.590000,28.025000,28.025000,30006
2011-03-16,28.155001,28.155001,27.780001,27.780001,27.780001,20004
2011-03-17,null,null,null,null,null,null
2011-03-18,null,null,null,null,null,null
2011-03-21,28.365000,28.545000,28.365000,28.545000,28.545000,34782
2011-03-22,null,null,null,null,null,null
2011-03-23,28.315001,28.450001,28.315001,28.395000,28.395000,8515
2011-03-24,28.415001,28.709999,28.415001,28.684999,28.684999,56
2011-03-25,28.855000,28.855000,28.799999,28.799999,28.799999,250
2011-03-28,null,null,null,null,null,null
2011-03-29,null,null,null,null,null,null
2011-03-30,null,null,null,null,null,null
2011-03-31,29.165001,29.170000,29.094999,29.094999,29.094999,40008
2011-04-01,29.155001,29.365000,29.155001,29.365000,29.365000,175
2011-04-04,null,null,null,null,null,null
2011-04-05,29.209999,29.315001,29.190001,29.315001,29.315001,11500
2011-04-06,null,null,null,null,null,null
2011-04-07,null,null,null,null,null,null
2011-04-08,null,null,null,null,null,null
2011-04-11,null,null,null,null,null,null
2011-04-12,null,null,null,null,null,null
2011-04-13,null,null,null,null,null,null
2011-04-14,28.805000,28.805000,28.690001,28.715000,28.715000,5000
2011-04-15,null,null,null,null,null,null
2011-04-18,null,null,null,null,null,null
2011-04-19,null,null,null,null,null,null
2011-04-20,null,null,null,null,null,null
2011-04-21,null,null,null,null,null,null
2011-04-26,29.350000,29.645000,29.320000,29.645000,29.645000,62010
2011-04-27,null,null,null,null,null,null
2011-04-28,29.799999,29.855000,29.740000,29.855000,29.855000,2749
