Date,Open,High,Low,Close,Adj Close,Volume
1982-01-04,5.484461,5.541591,5.398766,5.513026,1.541762,321100
1982-01-05,5.398766,5.513026,5.255941,5.427331,1.517795,442400
1982-01-06,5.170247,5.341636,4.970293,5.113117,1.429923,565800
1982-01-07,5.027422,5.113117,4.913163,4.998857,1.397969,508900
1982-01-08,5.027422,5.084552,4.970293,5.027422,1.405958,340400
1982-01-11,4.856033,5.084552,4.627514,4.713208,1.318086,521100
1982-01-12,4.741773,4.827468,4.656079,4.827468,1.350039,473400
1982-01-13,4.713208,4.856033,4.570384,4.627514,1.294120,313300
1982-01-14,4.713208,4.856033,4.570384,4.770338,1.334062,260800
1982-01-15,4.856033,4.913163,4.798903,4.913163,1.374004,185900
1982-01-18,4.856033,4.913163,4.798903,4.884598,1.366015,208700
1982-01-19,4.627514,4.856033,4.398994,4.484689,1.254178,1352100
1982-01-20,4.541819,4.627514,4.456124,4.627514,1.294120,477400
1982-01-21,4.627514,4.656079,4.570384,4.598949,1.286132,393400
1982-01-22,4.598949,4.656079,4.541819,4.598949,1.286132,238000
1982-01-25,4.598949,4.656079,4.541819,4.570384,1.278144,223600
1982-01-26,4.513254,4.627514,4.398994,4.456124,1.246190,329500
1982-01-27,4.541819,4.627514,4.456124,4.627514,1.294120,160100
1982-01-28,4.741773,4.798903,4.656079,4.741773,1.326073,301900
1982-01-29,4.856033,4.913163,4.798903,4.798903,1.342050,326000
1982-02-01,4.684644,4.741773,4.627514,4.656079,1.302108,123800
1982-02-02,4.627514,4.656079,4.570384,4.570384,1.278144,227900
1982-02-03,4.541819,4.627514,4.456124,4.513254,1.262167,197300
1982-02-04,4.541819,4.570384,4.484689,4.541819,1.270155,176300
1982-02-05,4.513254,4.570384,4.456124,4.484689,1.259246,123800
1982-02-08,4.398994,4.484689,4.284735,4.284735,1.203102,328600
1982-02-09,4.284735,4.341865,4.199040,4.256170,1.195081,207800
1982-02-10,4.170475,4.313300,3.999086,4.056216,1.138936,397700
1982-02-11,4.084781,4.170475,3.970521,4.027651,1.130915,400800
1982-02-12,4.170475,4.227605,4.084781,4.113346,1.154978,541300
1982-02-16,4.056216,4.113346,3.970521,4.084781,1.146956,231000
1982-02-17,4.141911,4.170475,4.084781,4.084781,1.146956,408200
1982-02-18,4.199040,4.256170,4.141911,4.227605,1.187060,163200
1982-02-19,4.199040,4.227605,4.141911,4.199040,1.179040,138200
1982-02-22,4.199040,4.341865,4.056216,4.056216,1.138936,187200
1982-02-23,3.999086,4.084781,3.884826,4.084781,1.146956,267300
1982-02-24,4.141911,4.227605,4.027651,4.141911,1.162999,301900
1982-02-25,4.170475,4.256170,4.084781,4.227605,1.187060,497500
1982-02-26,4.284735,4.313300,4.227605,4.284735,1.203102,250300
1982-03-01,4.227605,4.313300,4.141911,4.256170,1.195081,213100
1982-03-02,4.227605,4.313300,4.113346,4.113346,1.154978,136000
1982-03-03,4.027651,4.113346,3.913391,4.027651,1.130915,514100
1982-03-04,3.799132,3.913391,3.656307,3.742002,1.050708,267300
1982-03-05,3.713437,3.856261,3.542048,3.656307,1.026647,344800
1982-03-08,3.627742,3.799132,3.427788,3.427788,0.962481,262500
1982-03-09,3.484918,3.599177,3.370658,3.513483,0.986544,392000
1982-03-10,3.656307,3.827697,3.484918,3.656307,1.026647,238900
1982-03-11,3.742002,3.799132,3.684872,3.684872,1.034667,140900
1982-03-12,3.684872,3.742002,3.627742,3.684872,1.034667,143500
